variablename,short description,years,longer description,sources 
foodstamp_case,Food stamp/SNAP caseloads,1980–2017,Average monthly number of total caseloads for food stamps/SNAP within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
foodstamp_rep,Food stamp/SNAP recipients,1980–2017,Average monthly number of persons receiving food stamps/SNAP within a year.,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
nslp_free,NSLP free participation,1989–2017,Participation in the National School Lunch Program (free),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
nslp_reduced,NSLP reduced participation,1989–2017,Participation in the National School Lunch Program (reduced),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
nslp_total,Total NSLP participation,1989–2017,Total participation in the National School Lunch Program,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
sbp_free,SBP free participation,1989–2017,Participation in the School Breakfast Program (free),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
sbp_reduced,SBP reduced participation,1989–2017,Participation in the School Breakfast Program (reduced),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
sbp_total,Total SBP participation,1989–2017,Total participation in the School Breakfast Program,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
povrate,State poverty rate,1980–2017,"Estimated percent of individuals living in poverty. Note: The official poverty definition uses money income before taxes and does not include capital gains or noncash benefits (such as public housing, Medicaid, and food stamps).","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
ssirecipients_aged,Number of aged SSI recipients,1990–2017,Number of persons receiving federally administered Social Security Income (SSI) payments under aged enrollment category,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
ssirecipients_blind,Number of blind SSI recipients,1990–2017,Number of persons receiving federally administered Social Security Income (SSI) payments under blind enrollment category,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
ssirecipients_disabled,Number of disabled SSI recipients,1990–2017,Number of persons receiving federally administered Social Security Income (SSI) payments under disabled enrollment category,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
ssirecipients_total,Total number of SSI recipients,1990–2017,Number of persons receiving federally administered Social Security Income (SSI) payments,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
ssistate,Maximum SSI state benefits,1980–2011,Maximum amount of SSI benefits from state,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data
Note: This variable is no longer being updated by the source."
ssitotal,Total SSI benefits,1980–2011,Maximum total SSI benefits (state plus federal),"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data
Note: This variable is no longer being updated by the source."
stateeitcrate,State EITC rate,1980–2017,"State Earned Income Tax Credit, as a percentage of federal credit","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
wicparticipation,"WIC
participation",1989–2017,"Total participation in the Women, Infants, and Children Program","University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
workerscompensation,Workers’ compensation,1980–2017,Total state workers’ compensation spending in thousands of dollars,"University of Kentucky Center for Poverty Research. 2019. 'UKCPR National Welfare Data, 1980-2017.' Lexington, KY. http://ukcpr.org/resources/national-welfare-data"
aapfdp,Alaska Permanent Fund Dividend actual payouts,1957–2016,Alaska Permanent Fund Dividend actual payouts (previous calendar year),"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aairpi,"Air transportation spending, % of income",1957–2015,"Air transportation spending, % of income (aairspt / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aairspt,"State and local government air transportation direct expenditure, in millions of dollars",1957–2015,"State and local government air transportation direct expenditure, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aalct,"State and local alcohol tax revenues, in millions of dollars",1957–2015,"State and local alcohol tax revenues, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aalct2,"State and local alcohol tax revenues, in millions of dollars",1956–2011,"State and local alcohol tax revenues, in millions of dollars (values for subsequent fiscal year)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aslcash,"State and local government cash and security holdings, other than trust funds, in millions of dollars",1995–2017,"State and local government cash and security holdings, other than trust funds, in millions of dollars (NASBO used to apply changes to estimate most recent years, in italics)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
apersinc,"Personal income in millions of dollars, fiscal year",1957–2017,"Personal income in millions of dollars, fiscal year","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
apersinca,"Personal income, fiscal year, concept two",2000–2017,"Personal income, fiscal year, concept two: apersinc + acapgain + aben – asupp","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
apersinccy,"Personal income in millions of dollars, calendar year",1957–2016,"Personal income in millions of dollars, calendar year","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aasstpi,"Cash and security assets,
% of income",1995–2017,"Cash and security assets, % of income (aslcash / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aasstpia,"Cash and security assets,
% of income, concept two",2000–2017,"Cash and security assets, % of income, concept two (aslcash / apersinca)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
aben,"Taxable pensions and annuity, millions of dollars, calendar year",2004–2017,"Taxable pensions and annuity, millions of dollars, calendar year (carried forward as needed)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
acapgain,"Net capital gain, less loss, millions of dollars, calendar year",2004–2017,"Net capital gain, less loss, millions of dollars, calendar year (carried forward as needed)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
achgt,"State and local revenues from current charges, in millions of dollars",1957–2015,"State and local revenues from current charges, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
acinct,"State and local corporate income tax revenues, in millions of dollars",1957–2015,"State and local corporate income tax revenues, in millions of dollars","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
acjarea,Effective number of competing jurisdictions per 100 sq mi,1977–2015,Effective number of competing jurisdictions per 100 sq mi,"Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
acorrpi,"Corrections spending, % of income",1957–2015,"Corrections spending, % of income (acorrspt / apersinc)","Sorens, Jason, Fait Muedini, and William P. Ruger. 'State and Local Public Policies in 2006: A New Database.' State Politics & Policy Quarterly 8.3 (2008): 309–26."
